epoch,step,test_acc,test_f1,test_loss,test_prec,test_rec,train_acc,train_f1,train_loss,train_prec,train_rec
0,22,,,,,,0.7134831547737122,0.7134831547737122,,0.7134831547737122,0.7134831547737122
1,45,,,,,,0.800561785697937,0.800561785697937,,0.800561785697937,0.800561785697937
2,49,,,,,,,,0.4937668740749359,,
2,68,,,,,,0.8061797618865967,0.8061797618865967,,0.8061797618865967,0.8061797618865967
3,91,,,,,,0.8019663095474243,0.8019663095474243,,0.8019663095474243,0.8019663095474243
4,99,,,,,,,,0.3329971134662628,,
4,114,,,,,,0.8061797618865967,0.8061797618865967,,0.8061797618865967,0.8061797618865967
5,137,,,,,,0.8047752976417542,0.8047752976417542,,0.8047752976417542,0.8047752976417542
6,149,,,,,,,,0.5467107892036438,,
6,160,,,,,,0.8103932738304138,0.8103932738304138,,0.8103932738304138,0.8103932738304138
7,183,,,,,,0.8132022619247437,0.8132022619247437,,0.8132022619247437,0.8132022619247437
8,199,,,,,,,,0.39237454533576965,,
8,206,,,,,,0.8132022619247437,0.8132022619247437,,0.8132022619247437,0.8132022619247437
9,229,,,,,,0.8146067261695862,0.8146067261695862,,0.8146067261695862,0.8146067261695862
10,249,,,,,,,,0.53431236743927,,
10,252,,,,,,0.8188202381134033,0.8188202381134033,,0.8188202381134033,0.8188202381134033
11,275,,,,,,0.817415714263916,0.817415714263916,,0.817415714263916,0.817415714263916
12,298,,,,,,0.8188202381134033,0.8188202381134033,,0.8188202381134033,0.8188202381134033
13,299,,,,,,,,0.5532877445220947,,
13,321,,,,,,0.8230336904525757,0.8230336904525757,,0.8230336904525757,0.8230336904525757
14,344,,,,,,0.8216292262077332,0.8216292262077332,,0.8216292262077332,0.8216292262077332
15,349,,,,,,,,0.43844175338745117,,
15,367,,,,,,0.8216292262077332,0.8216292262077332,,0.8216292262077332,0.8216292262077332
16,390,,,,,,0.8132022619247437,0.8132022619247437,,0.8132022619247437,0.8132022619247437
17,399,,,,,,,,0.4092998504638672,,
17,413,,,,,,0.8216292262077332,0.8216292262077332,,0.8216292262077332,0.8216292262077332
18,436,,,,,,0.8146067261695862,0.8146067261695862,,0.8146067261695862,0.8146067261695862
19,449,,,,,,,,0.5669789910316467,,
19,459,,,,,,0.824438214302063,0.824438214302063,,0.824438214302063,0.824438214302063
20,460,0.7932960987091064,0.7932960987091064,0.429943710565567,0.7932960987091064,0.7932960987091064,,,,,
