epoch,step,train_loss,train_mse,train_r2,val_loss,val_mse,val_r2
0,24,,,,0.41965195536613464,0.41965195536613464,0.01589977741241455
0,24,,0.4766814708709717,-0.03818655014038086,,,
1,49,0.4190002679824829,,,,,
1,49,,,,0.3798365890979767,0.3798365890979767,0.10926836729049683
1,49,,0.43056923151016235,0.06224358081817627,,,
2,74,,,,0.3599781394004822,0.3599781394004822,0.15583717823028564
2,74,,0.3863441050052643,0.1585635542869568,,,
3,99,0.2406594455242157,,,,,
3,99,,,,0.3321389853954315,0.3321389853954315,0.22112107276916504
3,99,,0.3658873736858368,0.20311719179153442,,,
4,124,,,,0.3013980984687805,0.3013980984687805,0.29320967197418213
4,124,,0.32864418625831604,0.2842308282852173,,,
5,149,0.28148943185806274,,,,,
5,149,,,,0.2930431663990021,0.2930431663990021,0.312802255153656
5,149,,0.30106979608535767,0.34428632259368896,,,
6,174,,,,0.27483588457107544,0.27483588457107544,0.35549914836883545
6,174,,0.28041785955429077,0.38926517963409424,,,
7,199,0.18036170303821564,,,,,
7,199,,,,0.25060349702835083,0.25060349702835083,0.41232502460479736
7,199,,0.26616188883781433,0.42031389474868774,,,
8,224,,,,0.2355448603630066,0.2355448603630066,0.4476380944252014
8,224,,0.24836131930351257,0.4590826630592346,,,
9,249,0.1796143352985382,,,,,
9,249,,,,0.2229548692703247,0.2229548692703247,0.47716212272644043
9,249,,0.2306927740573883,0.4975636601448059,,,
10,274,,,,0.2722616493701935,0.2722616493701935,0.36153578758239746
10,274,,0.225052610039711,0.5098476409912109,,,
11,299,0.19334623217582703,,,,,
11,299,,,,0.20446892082691193,0.20446892082691193,0.5205123424530029
11,299,,0.22106628119945526,0.5185297131538391,,,
12,324,,,,0.1996527910232544,0.1996527910232544,0.5318064093589783
12,324,,0.2010684460401535,0.5620838403701782,,,
13,349,0.2378733903169632,,,,,
13,349,,,,0.19317498803138733,0.19317498803138733,0.5469970703125
13,349,,0.20109054446220398,0.5620356798171997,,,
14,374,,,,0.18849611282348633,0.18849611282348633,0.5579692125320435
14,374,,0.19202163815498352,0.5817872881889343,,,
15,399,0.1461438238620758,,,,,
15,399,,,,0.19854843616485596,0.19854843616485596,0.5343961715698242
15,399,,0.18337756395339966,0.6006135940551758,,,
16,424,,,,0.21278220415115356,0.21278220415115356,0.5010173916816711
16,424,,0.18747344613075256,0.5916930437088013,,,
17,449,0.11601628363132477,,,,,
17,449,,,,0.18052205443382263,0.18052205443382263,0.5766687393188477
17,449,,0.18371842801570892,0.5998712182044983,,,
18,474,,,,0.19511772692203522,0.19511772692203522,0.5424413084983826
18,474,,0.17916753888130188,0.6097828149795532,,,
19,499,0.23922212421894073,,,,,
19,499,,,,0.17667102813720703,0.17667102813720703,0.5856995582580566
19,499,,0.18431593477725983,0.5985698699951172,,,
20,524,,,,0.1936653107404709,0.1936653107404709,0.5458472967147827
20,524,,0.17909112572669983,0.6099492311477661,,,
21,549,0.16520164906978607,,,,,
21,549,,,,0.17141593992710114,0.17141593992710114,0.5980229377746582
21,549,,0.16893289983272552,0.6320734024047852,,,
22,574,,,,0.1915864795446396,0.1915864795446396,0.5507222414016724
22,574,,0.16816771030426025,0.6337398886680603,,,
23,599,0.19442370533943176,,,,,
23,599,,,,0.1786368489265442,0.1786368489265442,0.5810896158218384
23,599,,0.1887572705745697,0.5888969302177429,,,
24,624,,,,0.1724374145269394,0.1724374145269394,0.59562748670578
