epoch,step,test_loss,test_mse,test_r2,train_loss,train_mse,train_r2
0,24,,,,,0.5107212662696838,-0.1819767951965332
1,49,,,,0.44769811630249023,,
1,49,,,,,0.425893098115921,0.014343440532684326
2,74,,,,,0.39301297068595886,0.09043902158737183
3,99,,,,0.37165921926498413,,
3,99,,,,,0.3632221221923828,0.15938466787338257
4,124,,,,,0.3413102328777313,0.2100958228111267
5,149,,,,0.384823203086853,,
5,149,,,,,0.31803616881370544,0.26395976543426514
6,174,,,,,0.291329562664032,0.3257676362991333
7,199,,,,0.1937367469072342,,
7,199,,,,,0.2802407741546631,0.3514307141304016
8,224,,,,,0.23886264860630035,0.44719332456588745
9,249,,,,0.21460199356079102,,
9,249,,,,,0.23008263111114502,0.4675130844116211
10,250,0.2306242436170578,0.2306242436170578,0.5033760070800781,,,
